leçon	leiçon (léïssou)
cinquième	cinquena (si'nkénô)
l'epicier	l'especièr (léspéssyè)
chez	a cò de (a kô dé)
salut	adieu (adiou)
bonjour	bonjorn (bou'ndjou'n)
qu'est-ce que	de qué (dé ké)
m'achètes	me crompas
aujourd'hui	uèi
il me faut	me cal (mé kal u'n)
kilo	kilô
pommes de terre	trufas (trufoss)
livre (pound)	liura (liourô)
s'il te plaît	sens te comandar (sé'n té kouma'nda)
une orange 	un irange
les oranges	los iranges (louz ira'njéss)
tiens	tè
ça 	aquò (akô)
te fait	te fa
trois	tres (tréz)
euros	èuros (èouross)
ici 	aquí (aki)
les oranges	los (louz)
tu as	as (ass)
avec	amb (a'm)
plaisir	plaser (plazé)
avec plaisir	amb plaser (a'm plazé)
bien	plan (pla)
merci	mercés (mérséss)
merci beaucoup	plan mercés (pla mérséss)
un café	un cafè
première	primièira (primyèïrô)
l'ami	l'amic (lamik)
oui	e òc (é ô), 
et toi	e tu (é tu)
eh bien	e ben (é bé)
moi	ieu (yéou)
aussi	tanben (tabé)
où	ont (ou'n)
maintenant	ara (arô)
Toulouse	Tolosa (toulouzô)
deuxième	segonda (ségou'ndô)
comment	cossí (koussi)
t'appelles	t'apèlas (tapéloss)
m'appelle	m'apèli (mapèli), me soni (mé souni)
presque	giareben (gaïrébé béziss)
voisins	vesins (béziss)
voisin	vesin (bézi)
troisième	tresena (trézénô)
comme 	coma (koumô)
métier	trabalh (trabal), mestièr (méstyè)
ingénieure 	engenhaira (é'njégnaïrô)
c'est 	aquò's (akòs)
joli	polit (pouli)
dans	dins (di'nz)
quatrième	quatrena (katrénô)
l'occitan	loutsita
le	lo (lou)
à	a
l'école	l'escòla (l'éskolô)
la famille	la familha (la familyô)
ma mère	ma maire (ma maïré)
mais	mas (maï)
mon père	mon paire (mou'm païré)
une chanson	una cançon (nô ka'nsou)
pas	pas (pass, paï)
sixième	seisena (séïzénô)
Dieu	Dieu (di^ou)
mon 	mon (mou'n)
un soûl	un sadol (u'n sadoul)
pourquoi	perqué (pérké)
vielle 	vièlha (byèlyô)
une poule	una pola (nô poulô)
c'est que	es que (éss ké)
chaque	cada (kadô)
nuit	nuètch
quatre	quatre (katré)
jours	jorns (djou'n)
rien 	res (réss)
somnifèrs	somnifèrs (sou'nifèrss)
tu n'as que	as res que de 
