acheter	crompar (krou'mpa)
tu achetes 	crompas (krou'mpoz)
il faut	cal (kal)
falloir	caler (kalé)
avoir	aver (abé)
j'ai	ai (aï)
tu as	as (ass)
il/elle a	a
je vais	vau (bau)
tu vas	va (ba)
valoir	valer (balé)
t'appelles	t'apèlas (tapéloss)
m'appelle	m'apèli (mapèli), me soni (mé souni)
s'appeler	s'apelar (sapéla), se sonar (sé souna)
tu habites	demòras (démoross)
habiter	demorar (démourar)
j'habite	demòri (démori)
être	èsser (èssé)
je suis	soi (souï)
tu es	siás (syoss), ès
il/elle/c'est	es (éss)
tu fais	fas (fass)
tu veux 	vòls (boï)
vouloir	voler (boulé)
je veux	vòli (boli)
tu veux 	vòls
il/elle veut 	vòl (bol)
boire 	beure (bèouré)
je dis	disi (dizi)
dire	dire (diré)
tu dis	dises (dizéss)
il/elle dis	ditz (dits)
tu parles	parlas (parloï)
dis-moi	diga-me (digô mé)
petit	pichon (pitchou)
parler	parlar (parla)
je parle	parli (parli)
j'apprends 	apreni (apréni)
apprendre	aprene (apréné)
il/elle parle	parla (parlô)
il/elle sait	sap (sa)
savoir	saber (sabé)
chanter	cantar (ka'nta)
tu cries	cridas (kridoss)
il/elle met	met (mé)
mettre	metre (métré)
je mets 	meti (méti)
tu mets 	metes (météss)
il/elle met 	met (mét)
la voisine	la vesina (la bézinô)
la musique 	la musica (la muzikô)
à fond	a fons (a fou'nss)
il/elle fait	fa 
je dors	dormissi (dourmissi)
dormir	dourmir (dourmi)
il/elle dort	dormis (dourmiss)
tu dors	dormisses (dourmisséss)
ne 	ne (né)
je peux	pòdi
plus	mai (maï)
